congressTwitter,gunCount
1/1/18,0
1/2/18,0
1/3/18,0
1/4/18,0
1/5/18,0
1/6/18,0
1/7/18,1
1/8/18,6
1/9/18,2
1/10/18,3
1/11/18,1
1/12/18,0
1/13/18,0
1/14/18,0
1/15/18,1
1/16/18,0
1/17/18,2
1/18/18,1
1/19/18,2
1/20/18,0
1/21/18,0
1/22/18,0
1/23/18,6
1/24/18,14
1/25/18,2
1/26/18,2
1/27/18,0
1/28/18,0
1/29/18,0
1/30/18,2
1/31/18,6
2/1/18,3
2/2/18,0
2/3/18,0
2/4/18,0
2/5/18,0
2/6/18,1
2/7/18,0
2/8/18,1
2/9/18,0
2/10/18,0
2/11/18,0
2/12/18,2
2/13/18,1
2/14/18,56
2/15/18,109
2/16/18,43
2/17/18,19
2/18/18,13
2/19/18,14
2/20/18,32
2/21/18,55
2/22/18,118
2/23/18,48
2/24/18,18
2/25/18,18
2/26/18,43
2/27/18,57
2/28/18,50
3/1/18,23
3/2/18,15
3/3/18,5
3/4/18,1
3/5/18,8
3/6/18,9
3/7/18,19
3/8/18,12
3/9/18,5
3/10/18,7
3/11/18,2
3/12/18,30
3/13/18,53
3/14/18,177
3/15/18,24
3/16/18,7
3/17/18,3
3/18/18,6
3/19/18,5
3/20/18,26
3/21/18,21
3/22/18,24
3/23/18,34
3/24/18,84
3/25/18,16
3/26/18,21
3/27/18,16
3/28/18,19
3/29/18,14
3/30/18,15
3/31/18,5