state,frequency
AL,25.33333333
AK,3.5
AZ,9.75
AR,11
CA,46.28571429
CO,7.5
CT,95
DE,26.5
FL,13.88888889
GA,4.8
HI,16.5
ID,9.25
IL,39.72727273
IN,18.5
IA,13.33333333
KS,7
KY,13.75
LA,6.666666667
ME,13.5
MD,42.28571429
MA,34.33333333
MI,37.33333333
MN,33
MS,9
MO,11.83333333
MT,9
NE,3.333333333
NV,48
NH,26.33333333
NJ,90.14285714
NM,26
NY,44.125
NC,32.8
ND,2
OH,13.44444444
OK,14
OR,50.25
PA,15.4
RI,82.66666667
SC,47
SD,4
TN,16.28571429
TX,20.94444444
UT,19.5
VT,13.5
VA,29.4
WA,19
WV,3
WI,6.333333333
WY,6